局号,随机种子,艺术家,第1季,第2季,第3季,第4季
1,2026091800,林序,20,10,0,10
1,2026091800,蓝汐,30,30,10,0
1,2026091800,莫野,0,0,20,30
1,2026091800,叶织,10,0,30,20
1,2026091800,纪空,0,20,0,0
2,2026091801,林序,20,20,0,0
2,2026091801,蓝汐,10,30,20,0
2,2026091801,莫野,0,0,0,20
2,2026091801,叶织,30,10,10,10
2,2026091801,纪空,0,0,30,30
3,2026091802,林序,0,20,0,20
3,2026091802,蓝汐,0,30,20,10
3,2026091802,莫野,30,0,10,0
3,2026091802,叶织,20,10,30,0
3,2026091802,纪空,10,0,0,30
4,2026091803,林序,0,0,0,0
4,2026091803,蓝汐,10,0,10,20
4,2026091803,莫野,30,30,0,10
4,2026091803,叶织,20,10,20,0
4,2026091803,纪空,0,20,30,30
5,2026091804,林序,20,20,10,0
5,2026091804,蓝汐,10,0,30,0
5,2026091804,莫野,0,30,20,20
5,2026091804,叶织,30,10,0,30
5,2026091804,纪空,0,0,0,0
6,2026091805,林序,0,0,0,0
6,2026091805,蓝汐,20,20,20,0
6,2026091805,莫野,0,30,30,0
6,2026091805,叶织,30,10,10,0
6,2026091805,纪空,10,0,0,30
7,2026091806,林序,20,30,0,10
7,2026091806,蓝汐,0,0,0,30
7,2026091806,莫野,0,20,30,20
7,2026091806,叶织,10,0,20,0
7,2026091806,纪空,30,10,10,0
8,2026091807,林序,0,0,0,10
8,2026091807,蓝汐,20,20,20,0
8,2026091807,莫野,0,0,0,30
8,2026091807,叶织,10,30,30,0
8,2026091807,纪空,30,10,10,20
9,2026091808,林序,20,20,0,20
9,2026091808,蓝汐,10,30,30,0
9,2026091808,莫野,30,10,10,10
9,2026091808,叶织,0,0,0,0
9,2026091808,纪空,0,0,20,30
10,2026091809,林序,0,30,20,0
10,2026091809,蓝汐,10,0,0,20
10,2026091809,莫野,0,20,30,10
10,2026091809,叶织,20,10,0,30
10,2026091809,纪空,30,0,10,0
11,2026091810,林序,0,0,0,20
11,2026091810,蓝汐,0,0,0,10
11,2026091810,莫野,30,20,20,0
11,2026091810,叶织,20,10,10,0
11,2026091810,纪空,0,30,30,30
12,2026091811,林序,0,0,0,0
12,2026091811,蓝汐,0,20,30,20
12,2026091811,莫野,10,0,20,30
12,2026091811,叶织,30,10,0,10
12,2026091811,纪空,20,30,10,0
13,2026091812,林序,0,0,0,20
13,2026091812,蓝汐,20,10,10,10
13,2026091812,莫野,0,0,0,30
13,2026091812,叶织,30,20,30,0
13,2026091812,纪空,10,30,20,0
14,2026091813,林序,20,20,20,0
14,2026091813,蓝汐,10,30,10,20
14,2026091813,莫野,0,0,0,10
14,2026091813,叶织,0,0,30,30
14,2026091813,纪空,30,10,0,0
15,2026091814,林序,30,0,20,10
15,2026091814,蓝汐,0,10,0,0
15,2026091814,莫野,0,0,0,30
15,2026091814,叶织,20,20,10,0
15,2026091814,纪空,0,30,30,20
16,2026091815,林序,30,20,10,0
16,2026091815,蓝汐,20,10,0,20
16,2026091815,莫野,0,30,30,10
16,2026091815,叶织,0,0,20,30
16,2026091815,纪空,10,0,0,0
17,2026091816,林序,20,0,0,0
17,2026091816,蓝汐,10,10,0,30
17,2026091816,莫野,0,30,30,20
17,2026091816,叶织,30,20,20,0
17,2026091816,纪空,0,0,10,10
18,2026091817,林序,10,20,20,0
18,2026091817,蓝汐,0,10,0,20
18,2026091817,莫野,0,0,0,30
18,2026091817,叶织,30,0,30,10
18,2026091817,纪空,20,30,10,0
19,2026091818,林序,0,10,0,20
19,2026091818,蓝汐,0,0,20,10
19,2026091818,莫野,0,0,0,30
19,2026091818,叶织,20,20,30,0
19,2026091818,纪空,30,30,10,0
20,2026091819,林序,0,0,0,0
20,2026091819,蓝汐,30,20,20,20
20,2026091819,莫野,20,0,0,10
20,2026091819,叶织,10,30,10,0
20,2026091819,纪空,0,10,30,30
21,2026091820,林序,20,30,10,0
21,2026091820,蓝汐,10,0,0,10
21,2026091820,莫野,0,0,0,30
21,2026091820,叶织,0,0,20,20
21,2026091820,纪空,30,20,30,0
22,2026091821,林序,0,0,0,30
22,2026091821,蓝汐,0,0,20,20
22,2026091821,莫野,20,30,0,10
22,2026091821,叶织,30,20,30,0
22,2026091821,纪空,10,10,10,0
23,2026091822,林序,10,30,0,10
23,2026091822,蓝汐,30,20,20,0
23,2026091822,莫野,20,10,0,0
23,2026091822,叶织,0,0,10,30
23,2026091822,纪空,0,0,30,20
24,2026091823,林序,0,0,0,20
24,2026091823,蓝汐,20,20,10,0
24,2026091823,莫野,0,0,0,30
24,2026091823,叶织,10,30,20,0
24,2026091823,纪空,30,10,30,10
25,2026091824,林序,20,10,0,20
25,2026091824,蓝汐,10,0,20,10
25,2026091824,莫野,0,20,30,0
25,2026091824,叶织,0,0,0,30
25,2026091824,纪空,30,30,10,0
26,2026091825,林序,0,30,0,30
26,2026091825,蓝汐,30,10,30,0
26,2026091825,莫野,20,20,20,10
26,2026091825,叶织,10,0,10,20
26,2026091825,纪空,0,0,0,0
27,2026091826,林序,30,20,0,0
27,2026091826,蓝汐,0,0,0,0
27,2026091826,莫野,0,0,30,30
27,2026091826,叶织,20,30,20,20
27,2026091826,纪空,0,10,10,0
28,2026091827,林序,10,20,0,0
28,2026091827,蓝汐,0,0,0,30
28,2026091827,莫野,30,0,20,20
28,2026091827,叶织,20,10,30,0
28,2026091827,纪空,0,30,10,10
29,2026091828,林序,0,0,0,0
29,2026091828,蓝汐,0,10,30,20
29,2026091828,莫野,20,20,20,0
29,2026091828,叶织,30,30,10,0
29,2026091828,纪空,0,0,0,30
30,2026091829,林序,0,30,0,0
30,2026091829,蓝汐,20,0,20,0
30,2026091829,莫野,30,20,0,20
30,2026091829,叶织,10,10,30,10
30,2026091829,纪空,0,0,10,30
31,2026091830,林序,30,20,0,0
31,2026091830,蓝汐,0,10,0,20
31,2026091830,莫野,10,30,20,0
31,2026091830,叶织,0,0,10,30
31,2026091830,纪空,20,0,30,10
32,2026091831,林序,10,20,0,0
32,2026091831,蓝汐,0,0,0,30
32,2026091831,莫野,20,10,10,10
32,2026091831,叶织,30,30,30,0
32,2026091831,纪空,0,0,20,20
33,2026091832,林序,0,0,0,30
33,2026091832,蓝汐,0,0,0,10
33,2026091832,莫野,20,30,20,0
33,2026091832,叶织,30,20,10,0
33,2026091832,纪空,10,10,30,20
34,2026091833,林序,20,0,20,10
34,2026091833,蓝汐,30,30,0,0
34,2026091833,莫野,0,10,0,30
34,2026091833,叶织,10,20,30,0
34,2026091833,纪空,0,0,10,20
35,2026091834,林序,0,0,10,0
35,2026091834,蓝汐,0,0,0,0
35,2026091834,莫野,10,20,0,0
35,2026091834,叶织,20,30,30,0
35,2026091834,纪空,30,10,20,30
36,2026091835,林序,0,0,0,20
36,2026091835,蓝汐,10,0,20,10
36,2026091835,莫野,30,20,30,0
36,2026091835,叶织,0,30,0,30
36,2026091835,纪空,20,10,10,0
37,2026091836,林序,20,0,20,20
37,2026091836,蓝汐,0,30,30,10
37,2026091836,莫野,0,10,0,30
37,2026091836,叶织,30,20,10,0
37,2026091836,纪空,0,0,0,0
38,2026091837,林序,20,20,0,0
38,2026091837,蓝汐,10,0,30,0
38,2026091837,莫野,30,0,20,20
38,2026091837,叶织,0,30,10,10
38,2026091837,纪空,0,10,0,30
39,2026091838,林序,30,10,0,20
39,2026091838,蓝汐,0,0,0,30
39,2026091838,莫野,20,20,10,0
39,2026091838,叶织,0,30,20,10
39,2026091838,纪空,10,0,30,0
40,2026091839,林序,10,10,0,20
40,2026091839,蓝汐,0,0,0,30
40,2026091839,莫野,0,0,30,10
40,2026091839,叶织,30,20,10,0
40,2026091839,纪空,20,30,20,0
41,2026091840,林序,0,0,0,10
41,2026091840,蓝汐,20,10,20,20
41,2026091840,莫野,0,0,0,30
41,2026091840,叶织,30,20,30,0
41,2026091840,纪空,10,30,10,0
42,2026091841,林序,30,20,0,0
42,2026091841,蓝汐,20,30,20,0
42,2026091841,莫野,0,0,30,30
42,2026091841,叶织,0,10,0,0
42,2026091841,纪空,10,0,10,20
43,2026091842,林序,0,30,20,20
43,2026091842,蓝汐,20,20,30,0
43,2026091842,莫野,0,0,0,10
43,2026091842,叶织,10,0,0,30
43,2026091842,纪空,30,10,10,0
44,2026091843,林序,10,0,20,0
44,2026091843,蓝汐,0,0,30,30
44,2026091843,莫野,30,30,0,20
44,2026091843,叶织,20,20,10,0
44,2026091843,纪空,0,0,0,0
45,2026091844,林序,10,0,10,0
45,2026091844,蓝汐,20,0,0,0
45,2026091844,莫野,0,30,0,30
45,2026091844,叶织,30,20,20,20
45,2026091844,纪空,0,10,30,0
46,2026091845,林序,10,20,0,20
46,2026091845,蓝汐,0,0,20,10
46,2026091845,莫野,0,0,0,30
46,2026091845,叶织,30,30,30,0
46,2026091845,纪空,20,10,10,0
47,2026091846,林序,10,20,10,0
47,2026091846,蓝汐,0,10,20,0
47,2026091846,莫野,30,30,0,20
47,2026091846,叶织,0,0,0,10
47,2026091846,纪空,20,0,30,30
48,2026091847,林序,0,20,0,20
48,2026091847,蓝汐,20,0,20,0
48,2026091847,莫野,0,0,0,30
48,2026091847,叶织,30,10,30,0
48,2026091847,纪空,0,30,10,10
49,2026091848,林序,10,10,0,20
49,2026091848,蓝汐,30,20,20,0
49,2026091848,莫野,0,0,0,0
49,2026091848,叶织,0,0,10,30
49,2026091848,纪空,20,30,30,10
50,2026091849,林序,0,0,0,30
50,2026091849,蓝汐,10,0,30,20
50,2026091849,莫野,30,20,20,0
50,2026091849,叶织,20,10,0,10
50,2026091849,纪空,0,30,10,0
51,2026091850,林序,10,30,20,0
51,2026091850,蓝汐,0,0,0,20
51,2026091850,莫野,0,0,10,30
51,2026091850,叶织,30,20,0,0
51,2026091850,纪空,20,10,30,10
52,2026091851,林序,0,0,30,20
52,2026091851,蓝汐,10,10,0,0
52,2026091851,莫野,30,20,0,10
52,2026091851,叶织,20,30,20,0
52,2026091851,纪空,0,0,10,30
53,2026091852,林序,30,30,0,0
53,2026091852,蓝汐,20,20,0,20
53,2026091852,莫野,10,0,20,10
53,2026091852,叶织,0,10,30,30
53,2026091852,纪空,0,0,10,0
54,2026091853,林序,20,10,20,10
54,2026091853,蓝汐,0,30,10,20
54,2026091853,莫野,0,0,0,30
54,2026091853,叶织,30,20,30,0
54,2026091853,纪空,10,0,0,0
55,2026091854,林序,10,0,10,20
55,2026091854,蓝汐,0,20,20,10
55,2026091854,莫野,0,0,0,30
55,2026091854,叶织,30,30,30,0
55,2026091854,纪空,20,10,0,0
56,2026091855,林序,30,10,10,0
56,2026091855,蓝汐,0,0,0,20
56,2026091855,莫野,0,20,0,30
56,2026091855,叶织,20,30,20,0
56,2026091855,纪空,10,0,30,10
57,2026091856,林序,0,10,0,10
57,2026091856,蓝汐,20,20,20,0
57,2026091856,莫野,0,0,30,30
57,2026091856,叶织,0,0,0,20
57,2026091856,纪空,30,30,10,0
58,2026091857,林序,10,0,0,0
58,2026091857,蓝汐,0,0,20,0
58,2026091857,莫野,20,30,0,0
58,2026091857,叶织,0,10,30,30
58,2026091857,纪空,30,20,10,0
59,2026091858,林序,20,20,10,0
59,2026091858,蓝汐,0,10,0,20
59,2026091858,莫野,30,0,20,0
59,2026091858,叶织,10,0,0,30
59,2026091858,纪空,0,30,30,10
60,2026091859,林序,20,20,10,0
60,2026091859,蓝汐,10,0,0,30
60,2026091859,莫野,30,10,20,0
60,2026091859,叶织,0,30,30,20
60,2026091859,纪空,0,0,0,0
61,2026091860,林序,0,0,0,0
61,2026091860,蓝汐,0,0,0,30
61,2026091860,莫野,20,10,20,0
61,2026091860,叶织,0,30,30,20
61,2026091860,纪空,30,20,10,0
62,2026091861,林序,30,20,10,0
62,2026091861,蓝汐,0,0,0,0
62,2026091861,莫野,20,0,30,20
62,2026091861,叶织,0,30,20,10
62,2026091861,纪空,10,10,0,30
63,2026091862,林序,20,20,0,20
63,2026091862,蓝汐,30,10,20,0
63,2026091862,莫野,10,30,10,0
63,2026091862,叶织,0,0,0,10
63,2026091862,纪空,0,0,30,30
64,2026091863,林序,20,20,0,0
64,2026091863,蓝汐,10,10,0,0
64,2026091863,莫野,0,0,20,20
64,2026091863,叶织,0,0,30,30
64,2026091863,纪空,30,30,10,0
65,2026091864,林序,0,0,0,20
65,2026091864,蓝汐,30,20,10,10
65,2026091864,莫野,0,0,0,0
65,2026091864,叶织,20,30,20,0
65,2026091864,纪空,10,10,30,30
66,2026091865,林序,20,10,10,0
66,2026091865,蓝汐,0,0,0,0
66,2026091865,莫野,10,0,0,30
66,2026091865,叶织,0,30,30,20
66,2026091865,纪空,30,20,20,10
67,2026091866,林序,30,20,0,0
67,2026091866,蓝汐,0,30,30,10
67,2026091866,莫野,20,10,20,0
67,2026091866,叶织,0,0,10,20
67,2026091866,纪空,10,0,0,30
68,2026091867,林序,0,20,0,20
68,2026091867,蓝汐,10,10,20,0
68,2026091867,莫野,0,0,10,10
68,2026091867,叶织,20,30,30,0
68,2026091867,纪空,30,0,0,30
69,2026091868,林序,20,10,20,0
69,2026091868,蓝汐,0,0,10,20
69,2026091868,莫野,10,0,30,0
69,2026091868,叶织,0,20,0,30
69,2026091868,纪空,30,30,0,10
70,2026091869,林序,30,20,0,10
70,2026091869,蓝汐,10,0,30,20
70,2026091869,莫野,20,0,0,30
70,2026091869,叶织,0,30,20,0
70,2026091869,纪空,0,10,10,0
71,2026091870,林序,20,20,0,0
71,2026091870,蓝汐,30,30,10,0
71,2026091870,莫野,10,10,30,20
71,2026091870,叶织,0,0,0,0
71,2026091870,纪空,0,0,20,30
72,2026091871,林序,20,0,10,0
72,2026091871,蓝汐,10,20,30,20
72,2026091871,莫野,30,10,0,0
72,2026091871,叶织,0,30,0,10
72,2026091871,纪空,0,0,20,30
73,2026091872,林序,20,30,0,20
73,2026091872,蓝汐,10,20,20,0
73,2026091872,莫野,0,0,0,10
73,2026091872,叶织,30,10,10,0
73,2026091872,纪空,0,0,30,30
74,2026091873,林序,0,0,30,30
74,2026091873,蓝汐,30,20,10,0
74,2026091873,莫野,0,0,0,0
74,2026091873,叶织,20,30,20,0
74,2026091873,纪空,10,10,0,20
75,2026091874,林序,0,0,0,20
75,2026091874,蓝汐,0,0,10,30
75,2026091874,莫野,20,20,0,10
75,2026091874,叶织,30,10,30,0
75,2026091874,纪空,10,30,20,0
76,2026091875,林序,10,30,20,10
76,2026091875,蓝汐,0,0,10,0
76,2026091875,莫野,0,0,0,30
76,2026091875,叶织,20,10,0,20
76,2026091875,纪空,30,20,30,0
77,2026091876,林序,30,20,0,0
77,2026091876,蓝汐,0,30,10,20
77,2026091876,莫野,20,0,0,0
77,2026091876,叶织,0,10,20,30
77,2026091876,纪空,10,0,30,10
78,2026091877,林序,0,20,0,20
78,2026091877,蓝汐,30,30,0,0
78,2026091877,莫野,0,10,20,0
78,2026091877,叶织,10,0,30,30
78,2026091877,纪空,20,0,10,10
79,2026091878,林序,10,10,20,0
79,2026091878,蓝汐,0,0,0,0
79,2026091878,莫野,20,0,30,10
79,2026091878,叶织,30,20,0,20
79,2026091878,纪空,0,30,10,30
80,2026091879,林序,20,10,0,0
80,2026091879,蓝汐,10,20,10,0
80,2026091879,莫野,0,30,30,20
80,2026091879,叶织,30,0,20,10
80,2026091879,纪空,0,0,0,30
81,2026091880,林序,20,10,10,20
81,2026091880,蓝汐,0,0,0,30
81,2026091880,莫野,0,0,0,0
81,2026091880,叶织,0,20,20,10
81,2026091880,纪空,30,30,30,0
82,2026091881,林序,10,20,10,0
82,2026091881,蓝汐,0,0,20,0
82,2026091881,莫野,30,30,0,20
82,2026091881,叶织,20,0,30,10
82,2026091881,纪空,0,10,0,30
83,2026091882,林序,0,0,0,0
83,2026091882,蓝汐,20,20,20,0
83,2026091882,莫野,0,0,10,30
83,2026091882,叶织,10,30,30,10
83,2026091882,纪空,30,10,0,20
84,2026091883,林序,0,30,0,20
84,2026091883,蓝汐,0,0,20,0
84,2026091883,莫野,20,10,10,10
84,2026091883,叶织,10,0,0,30
84,2026091883,纪空,30,20,30,0
85,2026091884,林序,20,20,0,0
